author_id,title,category,genre,step1,step2,step3,final_content,prompt_id,custom_prompt,is_public,created_at
3,감정노동자 보호법 실효성 논란,F,essay,"감정노동자 보호법 실효성 논란에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","감정노동자 보호법 실효성 논란에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-06-03 17:59:07
3,"기후 위기, 우리는 얼마나 준비되어 있는가?",F,essay,"기후 위기, 우리는 얼마나 준비되어 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","기후 위기, 우리는 얼마나 준비되어 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,False,2025-02-23 06:54:54
2,"콘텐츠 산업, K-컬처의 미래는?",T,poem,"콘텐츠 산업, K-컬처의 미래는?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","콘텐츠 산업, K-컬처의 미래는?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-05-03 09:36:01
1,"젠더 갈등, 해소를 위한 첫걸음은?",F,essay,"젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,False,2025-03-29 19:52:00
2,"2030의 정치 참여, 변화의 바람인가?",F,column,"2030의 정치 참여, 변화의 바람인가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","2030의 정치 참여, 변화의 바람인가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-02-18 02:45:23
3,"청년 세대의 주거난, 해법은 있는가?",F,essay,"청년 세대의 주거난, 해법은 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","청년 세대의 주거난, 해법은 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,False,2025-02-18 23:08:46
3,"기후 위기, 우리는 얼마나 준비되어 있는가?",F,analysis,"기후 위기, 우리는 얼마나 준비되어 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","기후 위기, 우리는 얼마나 준비되어 있는가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-03-25 09:23:48
1,"1인 가구 증가, 사회의 변화는?",F,poem,"1인 가구 증가, 사회의 변화는?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","1인 가구 증가, 사회의 변화는?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-06-02 04:56:23
2,"젠더 갈등, 해소를 위한 첫걸음은?",T,analysis,"젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-04-05 00:40:31
1,플랫폼 노동의 그림자,T,poem,"플랫폼 노동의 그림자에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","플랫폼 노동의 그림자에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,True,2025-02-03 03:57:10
2,"젠더 갈등, 해소를 위한 첫걸음은?",T,column,"젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","젠더 갈등, 해소를 위한 첫걸음은?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,False,2025-02-06 21:20:27
2,"2030의 정치 참여, 변화의 바람인가?",F,essay,"2030의 정치 참여, 변화의 바람인가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.","이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.","따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.","2030의 정치 참여, 변화의 바람인가?에 대한 문제의식은 점점 더 커지고 있다. 많은 이들이 이 문제를 단순히 개인의 문제로 치부하지만, 이는 사회 구조적 원인을 내포하고 있다.

이 사안은 다양한 배경을 갖고 있다. 전문가들은 구조적 원인을 지적하며, 실질적인 대안을 모색할 필요가 있다고 말한다. 예를 들어 정책적 지원과 제도 개선이 병행되어야 한다.

따라서 이 문제는 더 이상 미룰 수 없는 사회적 과제다. 모두가 관심을 가지고 참여할 때, 비로소 실질적인 변화가 가능할 것이다.",,,False,2025-05-05 05:23:03
